date,dengue,sintomas_de_dengue,mosquito,dengue_sintomas
2004-01-01,8,0,0,0
2004-02-01,16,0,0,0
2004-03-01,10,0,0,0
2004-04-01,14,0,0,0
2004-05-01,29,0,8,0
2004-06-01,25,0,8,0
2004-07-01,18,0,7,0
2004-08-01,21,0,10,0
2004-09-01,32,0,8,0
2004-10-01,23,0,6,0
2004-11-01,23,0,5,0
2004-12-01,11,0,5,0
2005-01-01,11,0,5,0
2005-02-01,8,0,7,0
2005-03-01,13,0,4,0
2005-04-01,13,0,5,0
2005-05-01,18,0,6,0
2005-06-01,19,0,7,0
2005-07-01,18,0,6,0
2005-08-01,30,0,8,2
2005-09-01,38,0,7,3
2005-10-01,37,0,7,2
2005-11-01,26,0,5,0
2005-12-01,12,3,3,0
2006-01-01,9,0,5,0
2006-02-01,8,0,4,0
2006-03-01,14,0,5,0
2006-04-01,17,0,6,0
2006-05-01,18,0,7,0
2006-06-01,16,0,8,2
2006-07-01,15,0,7,0
2006-08-01,19,0,6,0
2006-09-01,31,0,7,3
2006-10-01,35,0,7,2
2006-11-01,30,0,7,3
2006-12-01,13,0,6,0
2007-01-01,11,0,8,0
2007-02-01,13,0,7,0
2007-03-01,18,0,8,1
2007-04-01,17,1,7,1
2007-05-01,20,0,7,0
2007-06-01,19,0,9,1
2007-07-01,17,0,7,2
2007-08-01,23,1,7,3
2007-09-01,40,2,7,5
2007-10-01,72,3,11,10
2007-11-01,45,1,7,6
2007-12-01,20,0,5,3
2008-01-01,12,0,7,1
2008-02-01,14,1,7,1
2008-03-01,13,0,7,1
2008-04-01,21,0,7,1
2008-05-01,21,0,8,1
2008-06-01,26,0,8,2
2008-07-01,19,1,7,2
2008-08-01,19,1,7,3
2008-09-01,30,1,8,4
2008-10-01,35,2,7,4
2008-11-01,26,1,7,3
2008-12-01,15,0,6,2
2009-01-01,11,0,6,1
2009-02-01,15,0,6,1
2009-03-01,17,0,6,2
2009-04-01,17,1,6,1
2009-05-01,20,1,6,2
2009-06-01,18,0,6,1
2009-07-01,13,1,6,2
2009-08-01,28,1,6,4
2009-09-01,89,7,11,16
2009-10-01,100,8,12,20
2009-11-01,66,5,9,13
2009-12-01,28,2,7,4
2010-01-01,16,1,5,2
2010-02-01,16,1,6,2
2010-03-01,17,1,6,2
2010-04-01,17,1,6,2
2010-05-01,23,1,7,3
2010-06-01,21,1,6,3
2010-07-01,29,2,8,6
2010-08-01,28,2,9,7
2010-09-01,29,2,8,5
2010-10-01,31,2,7,6
2010-11-01,27,2,6,6
2010-12-01,14,1,6,3
2011-01-01,9,0,5,1
2011-02-01,9,1,5,1
2011-03-01,14,1,6,2
2011-04-01,13,1,6,2
2011-05-01,13,1,7,2
2011-06-01,13,1,6,2
2011-07-01,11,1,7,2
2011-08-01,13,1,8,2
2011-09-01,23,1,8,3
2011-10-01,28,2,8,4
2011-11-01,21,1,6,3
2011-12-01,11,1,5,1
